"title","sub_name","content"
"느릅나무","기술과학","춘유(春楡) 또는 가유(家楡)라고도 한다. 높이는 20m, 지름은 60cm이며, 나무 껍질은 회갈색이고, 작은 가지에 적갈색의 짧은 털이 있다. 잎은 어긋나고 넓은 달걀을 거꾸로 세운 모양 또는 달걀을 거꾸로 세운 모양의 타원형이며 끝이 갑자기 뾰족해지고 잎 가장자리에 겹톱니가 있다. 잎 앞면은 거칠고 뒷면 맥 위에는 짧고 거센 털이 나 있다. 잎자루는 길이가 3∼7mm이고 털이 있다. 꽃은 암수한그루이고 3월에 잎보다 먼저 피며 잎겨드랑이에 취산꽃차례를 이루며 7∼15개가 모여 달린다. 화관은 종 모양이다. 열매는 시과이고 달걀을 거꾸로 세운 모양 또는 타원 모양이며 길이가 10∼15mm이고 5∼6월에 익으며 날개가 있다. 봄에 어린 잎은 식용한다. 한방에서 껍질을 유피(楡皮)라는 약재로 쓰는데, 치습(治濕)·이뇨제·소종독(消腫毒)에 사용한다. 목재는 건축재·기구재·선박재·세공재·땔감 등으로 쓰인다. 한국·일본·사할린·쿠릴 열도·중국 북부·동시베리아에 분포한다."
"구제역","기술과학","발굽이 2개인 소·돼지·염소·사슴·낙타 등 우제류(발굽이 2개인 동물) 동물의 입과 발굽 주변에 물집이 생긴 뒤 치사율이 5∼55%에 달하는 가축의 제1종 바이러스성 법정전염병이다. 구제역은 바이러스의 감염으로 발생하는데 바이러스의 학명은 Picornaviridae Aphthovirus이다. 바이러스의 크기는 약 20nm(나노미터)이며 세계 최초로 발견된 동물 바이러스이다. 구제역 바이러스는 전염성이 매우 강한데 공기를 통해 호흡기로 감염되기 때문에 무리에서 한마리가 감염되면 나머지 가축 모두에게 급속하게 감염된다. 소의 경우 잠복기는 3∼8일에 불과하며 감염되면 증상이 빠르게 나타난다. 입을 통해서 동물의 몸속으로 들어간 바이러스는 인두에서 증식하여 혈액을 타고 심장으로 들어간다. 일단 감염되면 고열(40∼41℃)이 있고, 거품 섞인 침을 많이 흘리고 통증을 수반하는 급성구내염과 제관(蹄冠)·지간(趾間)에 수포(물집)가 생긴다. 입안에 물집이 생기면 통증으로 인해 소는 사료를 먹지 않게되고, 발굽에도 물집이 생기면 걷거나 잘 일어서지 못한다. 증세가 심해지면 수포가 터져 궤양으로 진전되며 앓다가 죽게된다. 구제역에 감염된 동물이 호흡을 하면서 공기중에 바이러스가 다른 동물의 호흡기를 통해 감염되는데 특히 우제류 동물 중에서 돼지가 내뱉는 공기에 구제역 바이러스 입자가 많아 감염의 위험이 훨씬 높다. 그리고 우제류 동물 중에서 소가 구제역 바이러스에 가장 취약하고, 염소는 강한 편이다. 구제역 바이러스가 아직까지 사람에게 감염된 사례는 없지만, 가벼운 감염 증세를 보인 경우는 있는 것으로 알려져 있다. 하지만 바이러스 변이를 통해서 감염의 가능성이 있기 때문에 주의가 필요하다. 국제수역사무국(OIE, Office international des epizooties or 세계동물보건기구(World Organisation for Animal Health)에서는 가축 전염병 가운데 가장 위험한 A급 바이러스로 지정하였다. 특별한 치료법은 없고, 만일 이 병이 발생했을 경우에는 검역을 철저히 해야 하며, 감염된 소와 접촉된 모든 소에게는 바이러스 확산 방지를 위한 백신을 주사하고 도살처분하거나 매장한다. 구제역이 발생하는 나라에서는 조직배양 백신을 이용한 예방법이 이용되고 있다. 하지만 백신을 이용해서 감염을 방지하는 이점은 있지만, 국제수역사무국에서 정하는 구제역이 없는 '청정국'으로 지정되려면 백신 또한 사용되지 않아야 한다. 한국에서는 1934년 처음 구제역이 발생했으며, 이후 66년 만인 2000년 경기도 파주 지역에서 발생해 충청도 지역까지 확산되어 큰 피해를 입었다. 2001년에는 영국에서 발생하여 유럽·동남아·남미 등지로 번졌다. 2011년에도 한국에서 구제역이 발생하여 전국적으로 확산되었으며 약 300만 마리의 가축이 매장되었다."
"공주거리","기술과학","운전자가 보행자나 정지표시 등 위험을 시각적으로 인식하고 상황에 대처하여 특정 동작을 실행하는 데까지는 일정한 시간이 걸린다. 여기서 지각지연시간은 위험상황을 시각적으로 받아들인 후 위험하다는 것을 이해하는 데 걸리는 시간이다. 그리고 반응지연시간은 상황에 맞는 행동을 결정하고 실제로 그 행동을 수행하는 데 걸리는 시간이다. 자동차의 경우 이 시간 동안 자동차는 처음 속력 그대로 진행할 수밖에 없다. 또한<U+00A0>브레이크를 밟았다 하더라도 브레이크의 유격 등에 의해 실제로 브레이크가 작동하기까지는 시간이 지연된다. 이렇게 운전자가 위험을 인식하고 브레이크가 실제로 작동하기까지 걸리는 시간 지연을 공주시간이라고 하고 그 시간 동안 진행한 거리를 공주거리라고 한다.<U+00A0>공주시간은 운전자의 인지반응특성이나 피로도, 신체적, 정신적 상황에 따라 차이가 나며, 브레이크의 유격 등 기계적 특성에도 영향을 받는다. 실제 교통사고공학분야에서는 안전을 고려한 평균치로 약 0.7~1.0초로 본다. 공주거리는 속력과 공주시간의 곱으로 나타나므로 차의 속력이 빠를수록 더 길다. 공주시간을 약 1초로 가정할 때, 주행속력에 따른 공주거리는 다음과 같다. 브레이크가 작동한 순간부터<U+00A0>완전히 정지하기까지 자동차가 진행한 거리를 제동거리라고 하고, 공주거리와 제동거리를 더해 정지거리라고 한다. 공주거리가 길어지면 정지거리가 길어지므로 고속주행할 때는 반드시 충분한 안전거리를 확보해야 한다."
"반도체","기술과학","전기전도도에 따라 물질을 분류하면 크게 도체, 반도체, 부도체로 나뉜다. 반도체는 순수한 상태에서 부도체와 비슷한 특성을 보이지만 불순물의 첨가에 의해 전기전도도가 늘어나기도 하고 빛이나 열에너지에 의해 일시적으로 전기전도성을 갖기도 한다. 주기율표상에 14족에 위치하는 저머늄(Ge), 규소(Si) 등이 대표적인 반도체이다.<U+00A0>초창기에는 저머늄이 주로 사용되었지만 현재는 실리콘에 13족의 붕소(B)나 15족의 인(P)등을 첨가하여 사용한다. 최근에는 13족과 15족의 화합물반도체가 쓰이기도 하며 갈륨비소(GaAs;gallium arsenide)<U+00A0>나 인듐인(InP;indium phospide)<U+00A0>등이 있다. 순수한 반도체는 14족 원소로 이루어져 모든 전자가 공유결합을 이룬다. 여기에 15족 원소를 첨가하면 잉여전자가 발생하여 n형 반도체가 되며 13족 원소를 첨가하면 반대로 전자가 부족하게 되어 정공으로 이루어진 p형 반도체가 된다. n형반도체와 p형반도체를 붙여놓으면 p형반도체에서 n형반도체 방향으로는 전류가 잘 흐르며 반대방향으로는 거의 흐르지 않는 정류작용이 일어난다. 이러한 소자를 다이오드(diode)라고 하며 이것이 반도체 소자의 기본이 된다.반도체는 다이오드와 트랜지스터 등으로 이루어진<U+00A0>집적회로소자 이외에도 열전자방출소자, 전자식 카메라의전하결합소자(CCD; charge coupled device)등 첨단 전자산업 부문에 넓게 응용되고 있으며 태양전지나 발광소자에도 사용된다. 이처럼 우리 주변의 대부분의 전자제품에 들어있어 생활에 편리를 가져다 주기 때문에 반도체를 ‘마법의 돌’이라 부르기도 한다."
"하이브리드카","기술과학","내연 엔진과 전기자동차의 배터리 엔진을 동시에 장착<U+00A0>등 기존의 일반 차량에 비해 연비 및 유해가스 배출량을 획기적으로 줄인 차세대 자동차를 말한다. 많을 경우 유해가스를 기존의 차량보다 90% 이상<U+00A0>줄일 수 있고, 대도시의 공기와 주변 환경을 개선할 수 있으며, 교통통제·도로계획 등과도 잘 맞기 때문에 환경자동차(eco-car)로도 부른다. 일본 도요타의 프리우스(Prius)와 혼다의 인사이트(Insight)가 대표적인 차종으로, 프리우스는 2000년 말 세계 최초로 양산화에 성공하였다. 연료 효율이 높고, 가솔린 엔진과 전기 엔진의 장점만을 결합해 운전하면서 도로와 주변 환경에 알맞게 자동으로 가솔린 엔진과 전기 엔진의 변환이 가능하다. 2009년 3월 현재 총 125만여 대가 판매되었고, 특히 미국의 뉴욕주(州)와 뉴저지주 등이 건설·복지·환경·교통 등과 관련해 공공 기관들의 공용차량으로 구매하는 등 인기를 끌고 있다. 인사이트는 가솔린 엔진이기는 하지만, 차체를 알루미늄으로 만들어 기존의 차량보다 40% 정도 무게가 가볍고, 세계 최경량인 1리터 린번VTEC 엔진을 사용해 공기의 저항을 획기적으로 줄였다. 무급유로 1423.3㎞의 주행기록을 세웠고, 1리터당 32㎞라는 연비 성능을 입증함으로써 차세대 환경 스포츠카로 자리잡았다. 한편, 국내에서도 2009년 현대자동차의 아반떼 LPI와 기아자동차의 포르테 LPI가 출시되었다. 작동 원리"
"사향","기술과학","무스크라고도 한다. 중국의 윈난성[雲南省] ·쓰촨성[四川省] 시짱(티베트)자치구 등의 높은 산지에서 사는 사향노루의 사향선(腺)을 건조시켜 얻는 분비물인데, 사향선은 사향노루 수컷의 배와 배꼽의 뒤쪽 피하에 있는 향낭(香囊) 속에 있으며, 생식기에 딸려 있다. 향낭은 크기가 달걀만하고 무게가 약 30g인 피낭(皮囊)이며, 잘라서 건조시키면 분비물이 약간 축축한 자갈색의 분말 모양으로 굳어지는데, 때로는 알갱이처럼 된 것[當門子]도 섞여 있다. 강렬한 암모니아성의 사향 같지 않은 향기가 나는데, 이것을 묽게 하면 향기로운 냄새가 난다. 사향의 성분은 무색의 기름 같은 액체 무스콘(muscone:麝香精)이며, 알코올에 녹여서 추출한다. 사향은 옛날부터 생약으로서 강심 ·흥분 ·진경제(鎭痙劑)로, 또 기절하였을 때 정신이 들게 하는 약으로 내복되었다. 그러나 값이 비싸기 때문에 위조품이 많은데, 비슷한 향기를 내는 인조사향의 성분은 전혀 별개의 것이다. 한편, 사향고양이의 사향선은 암컷 ·수컷 모두 사타구니의 향낭 속에 있으며, 분비액은 시벳(civet)이라 하여 구별하고 있다."
"거북선","기술과학","현재까지 전해오는 문헌 중에서 ‘거북선[龜船]'이라는 이름이 처음 나타나는 기록인 《조선왕조실록(朝鮮王朝實錄)》에는 1413년(태종 13) 5월 초에 “왕이 임진강 나루를 지나다가 거북선이 왜선으로 꾸민 배와 싸우는 모습을 보았다”고 하였고, 2년 후에는 다시 “거북선이 매우 견고하여 적선이 해치지를 못한다”고 되어 있으나, 어떤 형태와 규모였는지에 대해서는 자세히 적혀 있지 않아서 알 길이 없다. 그 후 180여년 간 거북선에 관한 기록이 보이지 않다가 이순신 장군의 임진년(1592) 일기인 《난중일기(亂中日記)》 2월 8일 기사에 “거북선에 사용할 돛 베(帆布)<U+00A0>29필을 받다”라는 기록이 있다. 또한 《난중일기》에 따르면 거북선에 비치한 포(砲)를 처음 발사한 날은 임진년(壬辰年:1592) 3월 27일이며, 처음 해전에 참가한 것은 장계(狀啓)에서 “5월 29일 사천해전(泗川海戰)”이라 기록하고 있다.그러나 이순신 장군이 건조한 창제귀선(創製龜船)의 일반적인 외부의 형태와 전투력에 관해서만 기록하고 있으며, 실제 건조에 필요한 세부적인 치수에 대해서는 기록한 것이 없다. 따라서 태종 때의 거북선과 이순신이 말한 거북선과의 관계는 확실히 알 수 없으나, 임진왜란 때 거북선은 이순신의 고안에 의해서 군관 나대용(羅大用) 등이 실제로 건조한 것으로 알려지고 있다. 거북선이 임진왜란 때 돌격전선으로서 기능을 발휘함에 따라 전란 후에는 그 모양이 조금씩 변하여 용머리[龍頭]는 거북머리[龜頭]로 바뀌고, 치수도 일반적으로 장대(長大)해지는 등 차차 크게 건조되었는데, 1795년(정조 19)에 간행된 《이충무공전서(李忠武公全書)》에 ‘전라좌수영 거북선’ 및 ‘통제영 거북선’의 그림과 함께 건조에 필요한 부분적인 치수가 어느 정도 기록되어 있다."
"RFID","기술과학","RFID의 기술은<U+00A0>2차 세계대전당시 영국이 자국의 전투기와 적군의 전투기를 자동적으로 식별하기 위해 RFID 기술을 개발하였으나, 태그가 크고 값이 비싸 일반에 보급되지는 못하고 군사부분에서만 사용 되다가,<U+00A0>태그의 소형화와<U+00A0>반도체 기술의 발달로 저가격, 고기능 태그가 개발되면서부터<U+00A0>다양한 분야로 적용이 확대되고 있다.RFID(Radio Frequency Identification)는 '전파식별'보다 한국기술표준원에서 정의한 '무선인식'으로 더 불리고 있다. RFID 시스템은 태그, 안테나, 리더기 등으로 구성되는데, 태그와 안테나는 정보를 무선으로 수미터에서 수십미터까지 보내며 리더기는 이 신호를 받아 상품 정보를 해독한 후 컴퓨터로 보낸다. 보내진 자료는 인식한 자료를 컴퓨터 시스템으로 보내 처리된다. 그러므로 태그가 달린 모든 상품은 언제 어디서나 자동적으로 확인 또는 추적이 가능하며 태그는 메모리를 내장하여 정보의 갱신 및 수정이 가능한 것이다. RFID 태그는 전원공급의 유무에 따라 전원을 필요로 하는 능동형(Active 형)과 내부나 외부로부터 직접적인 전원의 공급 없이 리더기의 전자기장에 의해 작동되는 수동형(Passive 형)으로 나눌 수 있다. Active 타입은 리더기의 필요전력을 줄이고 리더기와의 인식거리를 멀리할 수 있다는 장점이 있다. 하지만 전원공급장치를 필요로 하기 때문에 작동시간의 제한을 받으며 Passive 형에 비해 고가인 단점이 있다. 반면에, Passive 형은 Active 형에 비해 매우 가볍고 가격도 저렴하면서 반영구적으로 사용이 가능하지만, 인식거리가 짧고 리더기에서 훨씬 더 많은 전력을 소모한다는 단점이 있다. RFID 리더기는 태그를 향하여 전파를 주고받는 전자회로 부분을 가지고 있다. 리더기 내에 마이크로프로세서는 기억장치인 메모리에 저장하며 태그로부터 들어오는 신호를 변환시키거나 그 데이터의 신호를 검증하며 송신 기능도 갖는다. 리더기에 사용되는 안테나는 전파를 주고받을 수 있는 전자회로부분과 함께 케이스에 포함되어 있거나 단독으로 분리되어 있는 경우도 있다. 태그에는 반도체 칩과 연결된 안테나와 전파동조를 위한 콘덴서가 내장되어 있다. 반도체 칩의 크기는 최근 0.4mm 크기까지 개발된 상태이다. 전자태그 크기는 배터리 내장여부와 주파수 대역에 따라 달라진다.RFID 처리 시스템RFID 기술은 동작 주파수에 따라 저주파, 고주파 시스템으로 구분된다. 300MHz 이하인 저주파 시스템은 표준 주파수 125KHz, 13.56MHz가 대표적이다. 저렴한 태그, 소량의 데이터 저장, 짧은 판독 거리, 무지향성 안테나 등의 특징을 가진다. 고주파 시스템은 동작 주파수가 400MHz 이상이며, 860-930MHz, 2450MHz이다. 특히 수 미터에서 십 미터 이상에 이르는 긴 판독 거리를 가져 움직이는 물체나 매우 빠르게 인식되어야 하는 다중 태그 패키지에 적합하며, 지향성 안테나를 갖는다. RFID은 높은 인식률, 비접촉형 인식매체, 도달거리, 다른 통신망과의 연계 및 통신 가능성 등의 확장성으로 인해 특히 물류유통, 군사, 식품안전 등 비즈니스 영역에서 기대가 높다.첫째, 제조업에서는 제품의 부품마다 RFID가 부착되어 제조 공정의 전 단계를 완벽하게 감시 관리할 수 있게 되어 생산성 향상에 따른 생산비용 절감, 불량률의 획기적인 감소 및 품질 향상 등이 가능해질 것이다. 또한 기업은 필요한 마케팅 정보를 효과적으로 확보할 수도 있다.의류나 음식물에 RFID 태그가 부착되면 세탁기와 냉장고 등이 지능화된 기능을 수행한다. 의류의 옷감 상태에 대한 정보를 판독하여 의류 소재별로 가장 적절한 세탁 방식을 적용해 세탁하게 된다. 또한 음식물에 부착된 태그의 정보를 식별하여 냉장고의 적정온도를 스스로 조절하는 것도 가능해지기 때문이다.의료분야에서도 효율적인 환자 관리에 기여할 수 있다. RFID가 주변 환경이나 개체의 상태도 감지할 수 있는 센서로서의 역할이 가능졌기 때문이다. 모든 환자는 바코드나 손으로 적은 번호가 새겨진 팔찌 대신 RFID가 부착된 팔찌를 착용한다. 의사나 간호사는 환자의 위치나 현재 상황, 병의 치유 상태에 대한 정보를 원격에서 실시간으로 파악하여 상황에 따라 신속하게 대처할 수 있다. RFID는 이러한 기능을 바탕으로 의료 서비스의 효율성을 높여 줄 뿐 아니라 치명적인 의료사고를 감소시킬 것으로 기대된다.또한 독거노인들의 건강상태를 점검하며, 시각 장애인을 위하여 약품용기에 처방정보를 넣은 RFID 태그를 부착해 사용자들이 리더기가 포함된 단말기를 통해 음성으로 약품 정보를 들을 수 있도록 해줄 수도 있다. RFID는 이밖에 금융, 교통, 환경, 소방, 군사, 건설 등에서도 새로운 가치와 효율성을 창출하게 될 것으로 기대된다."
"ABS","기술과학","자동차가 달릴 때는 4개 바퀴에 똑같은 무게가 실리지 않는다. 이런 상태에서 급제동을 하면 일부 바퀴에 로크업(lock-up)현상, 즉 바퀴가 잠기는 현상이 발생한다. 이것은 차량은 여전히 진행하고 있는데도 바퀴는 완전히 멈춰선 상태를 말하는데, 이때 차량이 미끄러지거나 옆으로 밀려 운전자가 차의 방향을 제대로 제어할 수 없게 된다.이러한 문제를 방지하려면 바퀴가 잠기지 않도록 브레이크를 밟았다 놓았다 하는 펌핑을 해주어야 한다. 이 펌핑 작동을 전자제어장치나 기계적인 장치를 이용하여 1초에 10회 이상 반복되면서 제동이 이루어지도록 한 것이 그 원리이다.ABS는 보통 브레이크와 같은 시스템의 부스터와 마스터실린더에 전자제어장치인 ECU(electronic control unit), 유압조정장치인 HCU(hydraulic control unit), 바퀴의 속도를 감지하는 휠센서(wheel sensors), 브레이크를 밟은 상태를 감지하는 PTS(pedal travel switch)로 이루어진다.ABS가 장착된 자동차는 바퀴마다 스피드센서가 달려 있어, 여기서 감지되는 정보를 분석하여 만일 한쪽 바퀴가 잠기면 그 바퀴만 펌핑을 해줘 네 바퀴의 균형을 유지시킨다. 따라서 자동차가 미끄러지는 스키드 현상이 일어나지 않아 조종력을 잃지 않으며 바퀴가 잠기지 않아 제동거리도 훨씬 짧아진다. 다만, 브레이크 조작과 관련된 기계적 반동이 페달에도 그대로 전달되어 페달이 떨리고 소음이 발생하는 수가 있다."
"딤섬","기술과학","한문으로 쓰면<U+00A0>점심(点心)으로<U+00A0>원래 '마음에 점을 찍는다'는 뜻이지만 간단한 음식이라는 의미로 쓰인다. 3,000년 전부터 중국 남부의 광둥지방에서 만들어 먹기 시작했다. 중국에서는 코스요리의 중간 식사로 먹고 홍콩에서는 전채음식, 한국에서는 후식으로 먹는다. 기름진 음식이기 때문에 차와 함께 먹는 것이 좋으며 담백한 것부터 먼저 먹고 단맛이 나는 것을 마지막으로 먹는다.모양과 조리법에 따라 부르는 이름이 여러 가지이며 작고 투명한 것은 교(餃), 껍질이 두툼하고 푹푹한 것은 파오(包), 통만두처럼 윗부분이 뚫려 속이 보이는 것은 마이(賣)라고 한다. 대나무 통에 담아 만두 모양으로 찌거나 기름에 튀기는 것 외에 식혜처럼 떠먹는 것, 국수처럼 말아먹는 것 등 여러 가지가 있다. 속재료로는 새우·게살·상어지느러미 등의 고급 해산물을 비롯하여 쇠고기·닭고기 등의 육류와 감자·당근·버섯 등의 채소, 단팥이나 밤처럼 달콤한 앙금류 등을 사용한다. 가정에서 간단하게 만들려면 찹쌀가루 3컵, 따뜻한 물 1/2컵, 두부 1/2모, 다진 새우살 1/2컵, 다진마늘 1작은술, 다진파 1큰술, 청주 1큰술, 굴소스 1큰술, 녹말가루 2큰술, 소금·후춧가루 약간을 준비한다. 찹쌀가루를 따뜻한 물로 반죽하고 조금씩 떼어 새알처럼 빚어 도마 위에 놓고 얇게 밀어 딤섬피를 만든다. 용기에 두부, 다진 새우살, 다진마늘, 다진파, 청주, 굴소스 등을 넣고 잘 섞어 소를 만든 다음 딤섬피에 소를 적당히 올리고 주머니 모양으로 주름을 잡아 꽃 모양으로 빚는다. 김이 오르는 대나무 찜통에 면보를 깔고 딤섬을 올려놓고 6분 동안 찐 뒤 겨자 초간장이나 고추기름 초간장을 곁들여 먹는다. 반죽할 때 돼지기름과 소금을 약간 넣으면 쫄깃하고 부드러워지며 간이 맞아 먹을 때 초간장이 필요없다."
