"title","sub_name","content"
"삼재","철학","종류를 보면 ① 도병재(刀兵災):연장이나 무기로 입는 재난, ② 역려재(疫<U+7658>災):전염병에 걸리는 재난, ③ 기근재(飢饉災):굶주리는 재난이 있다. 또 대삼재(大三災)라 하여 ① 불의 재난(火災), ② 바람의 재난(風災), ③ 물의 재난(水災)을 말하기도 한다. 9년 주기로 들어온 이 삼재는 3년 동안 머무르게 되는데 그 첫해가 들삼재, 둘째 해가 묵삼재(또는 눌삼재), 셋째 해가 날삼재가 되어 그 재난의 정도가 점점 희박해진다고 한다. 그래서 첫번째 해인 들삼재를 매우 겁내고 조심하는 풍습이 있다. 그 대책을 살펴보면 첫째가 매사를 조심하는 방법이요, 두 번째는 부적(符籍)이나 양법(良法)을 행하여 예방하는 방법을 썼다. ① 부적:삼재적을 만들어 몸에 지니고 다니거나 출입문의 위쪽에 붙여 둔다. 부적은 머리가 셋, 발이 하나인 매(三頭一足鷹)를 붉은 물감으로 그린 그림인데 이때 물감은 한약재인 경면주사(鏡面朱砂)를 쓰는 것이 원칙이다.② 양법:삼재가 들 사람의 옷을 태워서 그 재를 삼거리에 묻거나 그해 첫번째 인일(寅日)이나 오일(午日)에 세 그릇 밥과 3색 과일을 차리고 빈다. 또 종이로 만든 버선본을 대나무에 끼워 정월 대보름에 집의 용마루에 꽂고 동쪽을 향하여 일곱 번 절하고 축원한다. ③ 나이와 삼재:사·유·축(巳·酉·丑)생은 삼재가 해(亥)년에 들어와 축(丑)년에 나가고 신·자·진(申·子·辰)생은 인(寅)년에 들어와 진(辰)년에 나가고 해·묘·미(亥·卯·未)생은 사(巳)년에 들어와 미(未)년에 나가며 인·오·술(寅·午·戌)생은 신(申)년에 들어와서 술(戌)년에 나간다."
"아모르파티","철학","자신의 운명을 사랑하라는 의미로, 인간이 가져야 할 삶의 태도를 설명하는 프리드리히 니체의 용어이다. 운명애(運命愛)라고도 한다. 니체에 따르면 삶이 만족스럽지 않거나 힘들더라도 자신의 운명을 받아들여야 한다. 그러나 운명을 받아들인다는 것은 자신에게 주어지는 고난과 어려움 등에 굴복하거나 체념하는 것과 같은 수동적인 삶의 태도를 의미하지 않는다. 니체가 말하는 ’아모르파티’ 즉 ‘운명애(運命愛)’는 자신의 삶에서 일어나는 고난과 어려움까지도 받아들이는 적극적인 방식의 삶의 태도를 의미한다. 즉 부정적인 것을 긍정적인 것으로 가치 전환하여, 자신의 삶을 긍정하고, 그에 대한 책임을 요구하는 것이다. 아모르파티는 니체 철학 전반과 연관을 갖고 있는 개념으로, ‘디오니소스적 긍정(Das dionysische Jasagen)’의 최고 형식이라고도 불린다. 니체 철학의 핵심인 ‘영원회귀(ewig wiederkehren)’ 사상의 관점에서 보면 삶은 동일한 것의 무한한 반복을 이루는데, 이를 통해 허무주의에 빠지는 것이 아니라, 오히려 삶을 긍정해야 한다는 점에서 아모르파티가 요구된다. 따라서 아모르파티는 특정한 시간이나 사건에 대한 순간적인 만족이나 긍정을 의미하는 것이 아니라, 삶 전체와 세상에 대한 긍정을 통해 허무를 극복하는 것을 의미한다. 이러한 아모르파티는 니체의 《즐거운 학문》, 《차라투스트라는 이렇게 말했다》 등에서 언급되었으며, 니체는 인간이 자신의 운명을 알고 그것을 받아들인다는 점에서 위대하다고 보았다."
"로마숫자","철학","지금은 아라비아숫자(인도숫자)가 주로 사용되고 있으나, 로마숫자는 시계의 문자판, 문장의 장절 표시 등에 사용된다. 로마숫자는 Ⅳ(5－1=4), Ⅵ(5+1=6)의 표기법과 같이 5진법의 자취를 엿볼 수 있으며, 숫자의 왼쪽은 뺄셈, 오른쪽은 덧셈으로 되어 있음을 알 수 있다. 로마숫자의 기수법에 따르면 1983은 MCMLXXXⅢ이 된다. 자체(字體)의 기원은 분명하지 않으나, Ⅰ,Ⅱ,Ⅲ은 막대기의 개수, Ⅴ는 손을 폈을 때 엄지손가락과 집게손가락이 이루는 Ⅴ자형이라고도 하고, X를 반으로 자른 것이라고도 한다. X는 막대기를 10개 묶은 모양이라고 추정된다. 또 C는 라틴어의 100(centum), M은 1000(mille)의 머리글자이다."
"도화살","철학","사람이나 물건을 해치는 독하고 모진 기운을 살이라고 하며, 남자든 여자든 이 도화살이 끼면 과도하고 잘못된 성욕으로 재앙을 당하게 된다고 믿고 이를 꺼린다. 이 도화살이 낀 여인은 얼굴 한 부분이 홍조를 띤다는 속설이 있다. 이런 여자는 한 남자로는 음욕을 채우지 못하여 여러 번 개가하게 되며, 이런 여자를 만난 남자는 몸이 쇠약하여 죽게 된다고 믿었기 때문에 사주(四柱)에 도화살이 있는지 철저하게 따지는 풍습이 있었다.따지는 법은 생년이나 생일에 12 간지(十二干支)의 신·자·진(申·子·辰)이 있으면 유(酉)가 든 사주가 도화살이며, 인·오·술(寅·午·戌)은 묘(卯)가, 사·유·축(巳·酉·丑)은 오(午)가, 해·묘·미(亥·卯·未)는 자(子)가 도화살이라 하여 이런 관계가 성립되는 것을 금기하였다.또 신 ·자 ·진 중 어느 한 좌향에 쓴 묘가 있고 유방(酉方)으로부터 이 묘쪽으로 흘러드는 물길이 있었는데 그 묘의 후손들에게 대대로 근친상간(近親相姦)의 재앙이 자주 일어났다는 설화도 있다. 이것은 여기서 따지는 12지가 반드시 연·월·일·시에만 국한되는 것은 아님을 설명해준다.그러나 현대에는 시대의 변화에 따라 예전처럼 부정적으로만 해석하지는 않는다. 오히려 이성의 주목을 끌고 매력적으로 다가가는 긍정적 요소로 여기기도 하며, 특히 연예인들이 반드시 갖추어야 할 사주라고까지 이야기한다."
"육십갑자","철학","육십간지·육갑이라고도 한다. 10간은 갑(甲)·을(乙)·병(丙)·정(丁)·무(戊)·기(己)·경(庚)·신(辛)·임(壬)· <U+00A0>계(癸)이고, 12지는 자(子)·축(丑)·인(寅)·묘(卯)·진(辰)·사(巳)· <U+00A0>오(午)·미(未)·신(申)·유(酉)·술(戌)·해(亥)이다.결합방법은 처음에 10간의 첫째인 갑과 12지의 첫째인 자를 붙여서 갑자를 얻고, 다음에 그 둘째인 을과 축을 결합하여 을축을 얻는다. 이와 같이 순서에 따라 하나씩의 간지를 구해 나가 60개의 간지를 얻은 후, 다시 갑자로 되돌아온다. 결과적으로 하나의 간에 6개의 지가 배당되는 셈이다. 간과 지가 사용된 역사는 매우 오래전인 듯하다. 중국의 BC 1766∼BC 1123년에 걸친 상(商)나라의 역대 왕의 이름을 살펴보면 태갑(太甲)·옥정(沃丁)·천을(天乙) 등 10간의 글자로 된 이름이 많으며, 이것으로 보아 이 시대에 이미 간지를 사용한 것으로 추측된다. 60간지는 원래 날짜를 세기 위하여 썼을 것이다. 이 60이라는 주기는 두 달쯤에 해당하는 적당한 주기이다. 또 십간십이지는 중국의 음양오행설(陰陽五行說)과 결합하여 만물의 길흉을 판단하는 데 쓰였다. 즉 사람의 성질과 운세(運勢)를 점치기도 하고, 나날의 길흉과 방위의 선택 등을 살펴보기도 한다. 범띠인 사람은 성질이 거칠다고 하고, 소띠는 느긋하다고 한다. 또 병오생(丙午生)인 여성에 대해서는, 오행설에 의하면 병(丙)은 화(火)이고 오(午)도 화이므로 화에 화가 겹쳤으니 이런 띠의 여성은 불에 불이 겹쳤다고 하여 성격이 거칠어서 남편을 짓밟는다는 속신(俗信)이 있다. 그러나 이것들은 모두 미신이다. 간지를 나날에 하나씩 배당한 것을 일진(日辰), 다달에 하나씩 배당한 것을 월건(月建), 해마다 하나씩 배당한 것을 태세(太歲)라고 한다. [육십갑자]"
"나르시시즘","철학","자신이 리비도의 대상이 되는 정신분석학적 용어로, 자기애(自己愛)라고 번역한다.물에 비친 자신의 모습에 반하여 자기와 같은 이름의 꽃인 나르키소스, 즉 수선화(水仙花)가 된 그리스 신화의 미소년 나르키소스와 연관지어, 독일의 정신과 의사 네케가 1899년에 만든 말이다. 자기의 육체를 이성의 육체를 보듯 하고, 또는 스스로 애무함으로써 쾌감을 느끼는 것을 말한다. 예컨대 한 여성이 거울 앞에 오랫동안 서서 자신의 얼굴이 아름답다고 생각하며 황홀하여 바라보는 것은 이런 의미에서의 나르시시즘이다. 그러나 이 말이 널리 알려진 것은 S.프로이트가 이를 정신분석 용어로 도입한 뒤부터이다. 그에 의하면 자기의 육체, 자아, 자기의 정신적 특징이 리비도의 대상이 되는 것, 즉 자기 자신에게 리비도가 쏠려 있는 상태이다. 보다 쉽게 말하면 자기 자신이 관심의 대상이 되는 것이다. 정신분석에 따르면 유아기에는 리비도가 자기 자신에게 쏠려 있다. 그래서 프로이트는 이 상태를 1차적 나르시시즘이라고 하였다. 나중에 자라면서 리비도는 자기 자신으로부터 떠나 외부의 대상(어머니나 이성)으로 향한다[對象愛]. 그러나 애정생활이 위기에 직면하여 상대를 사랑할 수 없게 될 때, 유아기에서처럼 자기 자신을 사랑하는 상태로 되돌아간다. 이것이 2차적 나르시시즘이다. 프로이트는 조현병(정신분열병)이나 파라노이아[偏執病]는 극단적인 예라고 생각하였다."
"삼강오륜","철학","삼강은 군위신강(君爲臣綱) ·부위자강(父爲子綱) ·부위부강(夫爲婦綱)을 말하며 이것은 글자 그대로 임금과 신하, 어버이와 자식, 남편과 아내 사이에 마땅히 지켜야 할 도리이다. 오륜은 오상(五常) 또는 오전(五典)이라고도 한다. 이는 《맹자(孟子)》에 나오는 부자유친(父子有親) ·군신유의(君臣有義) ·부부유별(夫婦有別) ·장유유서(長幼有序) ·붕우유신(朋友有信)의 5가지로, 아버지와 아들 사이의 도(道)는 친애(親愛)에 있으며, 임금과 신하의 도리는 의리에 있고, 부부 사이에는 서로 침범치 못할 인륜(人倫)의 구별이 있으며, 어른과 어린이 사이에는 차례와 질서가 있어야 하며, 벗의 도리는 믿음에 있음을 뜻한다. 삼강오륜은 원래 중국 전한(前漢) 때의 거유(巨儒) 동중서(董仲舒)가 공맹(孔孟)의 교리에 입각하여 삼강오상설(三綱五常說)을 논한 데서 유래되어 중국뿐만 아니라 한국에서도 과거 오랫동안 사회의 기본적 윤리로 존중되어 왔으며, 지금도 일상생활에 깊이 뿌리박혀 있는 윤리 도덕이다."
"이데올로기","철학","‘관념형태’ 또는 ‘의식형태’로 번역되기도 하나 원어 그대로 사용되는 경우가 많다. 일반적으로 사상이나 관념형태의 내용을 순수하게 내면적으로 이해하는 방법을 이데아적 견해라 한다. 이에 대하여 관념형태를 본인의 사회적 기반과 관련시켜 그 이해를 반영하는 것으로 생각하는 방법을 이데올로기적 견해라 한다. 이데아적 견해는 자칫하면 인간의 의식형태를 현실 생활에서 분리하여 관념론으로 흐르게 하기 쉬운 것이었으나, 중세의 봉건사회가 변혁되어 F.베이컨이나 T.홉스에 의하여 이데아의 신비성이 부정된 결과 이데올로기적 견해가 유력해졌다."
"열등감","철학","열등감에 빠진 사람은 자기 자신을 무능하고 무가치한 존재로 여기며 무의식 속에서 자기를 부정하기도 한다. 합리적이거나 이성적이지 못하고 불안심리를 동반한 이상행동을 보이며, 항상 경쟁에서 자기는 실패할 거라는 생각에 사로잡혀 있기도 한다.원인다른 사람에 비하여 뒤떨어져 있다고 생각하는 것으로는 다음과 같은 것이 있다.① 신체적인 것:기형이나 병에 의한 장애, 즉 절름발이·대머리·언청이(토순)·안면상처·말더듬이 등이다. ② 정신적인 것:학교성적이 나쁘다, 운동을 못한다, 미인이 아니다 등이다. ③ 사회적인 것:학력, 인종이나 신분에 의한 차별, 언어·빈곤·왼손잡이 등이 있다. 그러나 별다른 원인 없이 열등감이 주기적으로 나타나는 경우는 우울증인 경우가 많다.<U+00A0>증세열등감을 가진 사람은 자기의 단점(약점)이 폭로될 상황에 직면하면 불안과 공포를 느낀다. 따라서, 그러한 상황에 직면하는 것을 회피한다. 예컨대, 얼굴에 붉은 점(혈관종)이 있는 사람은 차 속에서 고개를 숙이고 앉거나 다른 사람의 눈에 띄지 않는 구석에 서게 된다. 학력에서 열등감을 가진 사람은 학교 이야기가 나오면 피한다. 또 다른 사람이 자기 이야기를 하지 않는가 하고 항상 걱정을 한다. 성격은 소극적이고 주저주저하며, 겸손하고 고독을 사랑하며 내성적이다(내향성 성격). 그러나, 반대로 매우 공격적이 되는 사람도 있다. 열등감을 가지고 있는 사람은 의식적·무의식적으로 그 보상을 하려고 한다. 학력에 대하여 열등감을 가진 사람이 부자가 되어 여봐란 듯이 행동하는 경우나, 학교 성적이 나빠 교사로부터 무시당하는 학생이 범죄행위를 하여 주시의 표적이 되려고 하는 것은 그 보기이다. 보상의 결과, 정상(正常)을 넘어서는 결과가 생겼을 때에는 과보상(過補償)이라고 한다. 즉, 말더듬이인 데모스테네스가 그리스 제일의 변론가가 된 경우 등이다. 치료① 열등감이 우울증의 증세일 때는 항울제(토플라닐·트리프타놀)를 쓴다. ② 열등감에는 보상작용이 있으므로 이것을 이용하여 열등감을 극복한다. ③ 자기가 뒤떨어진 것이 항상 마음에 걸려 적극적으로 아무 것도 하지 않으려고 할 때에는 다음의 4기로 나누어 치료한다. 즉, 제1기는 절대와상기(絶對臥床期)로서 4∼7일간은 식사와 용변 외에는 온종일 누워서 지내게 한다. 면회·독서·회화·흡연은 금지이다. 제2기는 가벼운 작업을 시킨다. 면회·회화·외출·독서는 금지이다. 3∼7일간 행한다. 제3기는 농사일·집수리 등 힘든 일을 시킨다. 독서만 허락한다. 3∼7일간 행한다. 제4기는 사회생활로 서서히 복귀시킨다."
"포스트모더니즘","철학","이 운동은 미국과 프랑스를 중심으로 학생운동 ·여성운동 ·흑인민권운동 ·제3세계운동 등의 사회운동과 전위예술, 그리고 해체(Deconstruction) 혹은 후기구조주의 사상으로 시작되었으며, 1970년대 중반 점검과 반성을 거쳐 오늘날에 이른다.포스트모더니즘을 알기 위해서는 모더니즘에 대한 이해가 필요하다. 서구에서 근대 혹은 모던(modern) 시대라고 하면 18세기 계몽주의로부터 시작된 이성중심주의 시대를 일컫는다. 종교나 외적인 힘보다 인간의 이성에 대한 믿음을 강조했던 계몽사상은 합리적 사고를 중시했으나 지나친 객관성의 주장으로 20세기에 들어서면서 도전받기 시작하였다. 니체, 하이데거의 실존주의를 거친 후 포스트모던 시대는 J.데리다, M.푸코, J.라캉, J.리오타르에 이르러 시작된다.니체와 프로이트의 영향을 받은 이들은 계몽주의 이후 서구의 합리주의를 되돌아보며 하나의 논리가 서기 위해 어떻게 반대논리를 억압해왔는지 드러낸다. 데리다는 어떻게 말하기가 글쓰기를 억압했고, 이성이 감성을, 백인이 흑인을, 남성이 여성을 억압했는지 이분법을 해체시켜 보여주었다. 푸코는 지식이 권력에 저항해왔다는 계몽주의 이후 발전논리의 허상을 보여주고 지식과 권력은 적이 아니라 동반자라고 말하였다. 둘다 인간에 내재된 본능으로 권력은 위에서의 억압이 아니라 밑으로부터 생겨나는 생산이어서 이성으로 제거되는 것이 아니라는 것이다. 라캉은 데카르트의 합리적 절대자아에 반기를 들고 프로이트를 귀환시켜 주체를 해체한다. 주체는 상상계와 상징계로 되어 있고 그 차이 때문에 이성에는 환상이 개입된다는 것이다. 리오타르 역시 숭엄(the Sublime)이라는 설명할 수 없는 힘으로 합리주의의 도그마를 해체한다. 따라서 철학에서의 포스트모더니즘은 근대의 도그마에 대한 반기였다. 문화예술의 경우는 시기구분이 좀더 세분화된다. 19세기 사실주의(Realism)에 대한 반발이 20세기 전반 모더니즘(Modernism)이었고 다시 이에 대한 반발이 포스트모더니즘이다. 사실주의는 대상을 그대로 옮길 수 있다는 재현(representation)에 대한 믿음으로 미술에서는 원근법을 중시하고 어떻게 하면 실물처럼 그릴까 고심했다. 문학에서는 저자가 객관적인 실재를 그릴 수 있다는 믿음으로 줄거리가 인물을 조정하여 원근법과 같은 효과를 나타내었다. 이런 사실주의는 20세기에 들어서 베르그송의 시간의 철학 ·실존주의, 아인슈타인의 상대성이론 등 객관진리, 단 하나의 재현에 대한 회의가 일어나면서 도전받는다. 대상은 보는 자의 주관에 따라 다르다는 전제도 미술에서는 인상주의로부터 시작되어 입체파 등 구상보다 추상으로 옮아가고 문학에서는 저자의 서술 대신 인물의 서술인 독백(‘의식의 흐름’이라고도 함)형식이 나온다.모더니즘은 혁신이었으나 역설적으로 보수성을 지니고 있었다. 재현에 대한 회의로 개성 대신에 신화와 전통 등 보편성을 중시했고 피카소, 프루스트, 포크너, 조이스 등 거장을 낳았으나 난해하고 추상적인 기법으로 대중과 유리되었다. 개인의 음성을 되찾고 대중과 친근하면서 모더니즘의 거장을 거부하는 다양성의 실험이 포스트모더니즘이었다. 따라서 철학에서는 모던과 포스트모던 상황이 반발의 측면이 강하지만 예술에서는 연속의 측면도 함께 지닌다. 비록 이성과 보편성에 의지했지만 이미 재현에 대한 회의가 모더니즘(현대성)에서 일어났기 때문이다. 각 영역에서의 특징을 살펴보면 다음과 같다. 미술에서는 추상 대신에 대중성을 띄고 다시 구상이 등장하였다. 그런데 팝아트처럼 같은 대상을 여러 번 찍어 ‘다르게 반복하기’를 선보이는 경우, 모나리자 등 친숙하고 고유한 원본을 패러디하여 ‘다양한 재현들’을 선보이는 경우, 예술가의 권한을 축소한 미니멀 아트(미니아튀르) 등, 단 하나의 절대재현을 거부한다. 문학에서는 인물의 독백이 사라지고 다시 저자가 등장하는데 더이상 19세기 사실주의와 같은 절대재현을 못 한다. 작가가 자신의 서술을 되돌아보고 의심하는 자의식적 서술(메타 픽션), 현실과 허구의 경계와해, 인물과 독자에게 선택권을 주는 열린 소설, 보도가 그대로 허구가 되는 뉴저널리즘, 작가의 권한을 최소화한 미니멀리즘 기법 등이 쓰인다. 영화와 연극 역시 사실주의의 패러디로서 환상적 기법, 자의식적 기법을 사용한다. 무용에서는 토슈즈를 신었던 19세기 발레에서 맨발의 자유로움과 기법을 중시한 모더니즘, 그리고 다시 운동화를 신는 포스트모던 댄스로 대중성과 개성이 중시된다. 서사(narrative), 기호학 등 비평이론의 경계와해는 공연예술에서 탈장르로 나타난다. 포스트모던 건축은 기능주의적이고 중앙집권적인 밋밋한 건축에서 장식과 열린 공간을 중시하고 분산적이며 옛것에 현대를 접합시킨 패러디가 유행한다.개성 ·자율성 ·다양성 ·대중성을 중시한 포스트모더니즘은 절대이념을 거부했기에 탈이념이라는 이 시대 정치이론을 낳는다. 또한 후기산업사회 문화논리로 비판받기도 한다. 산업사회는 분업과 대량생산으로 수요에 의해 공급이 이루어지던 시대이다. 이제 컴퓨터 ·서비스산업 등 정보화시대에 이르면 공급이 넘치고 수요는 광고와 패션에 의해 인위적으로 부추겨진다. 빗나간 소비사회는 때로 포스트모더니즘의 실험적이고 긍정적인 측면을 무력하게 만들기도 한다. 탈이념, 광고와 패션에 의한 소비문화, 여성운동, 제3세계운동 등 포스트모던시대의 사회정치현상은 한국사회와도 무관하지 않다. 미술 ·건축 ·무용 ·연극에서는 실험과 저항이 맞물려왔고 1980년대 말 동구권의 사회주의 몰락과 문민정부의 출현은 한국 문학과 예술에도 포스트모던 바람을 일게 하였다. 근대나 현대는 서유럽에 비하여 짧고 급속히 이루어졌기에 시민의식과 기술산업사회가 균형을 이룰 수 없었다. 서유럽과 한국사회를 똑같이 볼 수 없는 여러 상황에 의해 한국사회에서 포스트모더니즘은 영역에 따라 큰 차이를 보인다."
