"title","sub_name","content"
"공주거리","교통·통신","운전자가 보행자나 정지표시 등 위험을 시각적으로 인식하고 상황에 대처하여 특정 동작을 실행하는 데까지는 일정한 시간이 걸린다. 여기서 지각지연시간은 위험상황을 시각적으로 받아들인 후 위험하다는 것을 이해하는 데 걸리는 시간이다. 그리고 반응지연시간은 상황에 맞는 행동을 결정하고 실제로 그 행동을 수행하는 데 걸리는 시간이다. 자동차의 경우 이 시간 동안 자동차는 처음 속력 그대로 진행할 수밖에 없다. 또한<U+00A0>브레이크를 밟았다 하더라도 브레이크의 유격 등에 의해 실제로 브레이크가 작동하기까지는 시간이 지연된다. 이렇게 운전자가 위험을 인식하고 브레이크가 실제로 작동하기까지 걸리는 시간 지연을 공주시간이라고 하고 그 시간 동안 진행한 거리를 공주거리라고 한다.<U+00A0>공주시간은 운전자의 인지반응특성이나 피로도, 신체적, 정신적 상황에 따라 차이가 나며, 브레이크의 유격 등 기계적 특성에도 영향을 받는다. 실제 교통사고공학분야에서는 안전을 고려한 평균치로 약 0.7~1.0초로 본다. 공주거리는 속력과 공주시간의 곱으로 나타나므로 차의 속력이 빠를수록 더 길다. 공주시간을 약 1초로 가정할 때, 주행속력에 따른 공주거리는 다음과 같다. 브레이크가 작동한 순간부터<U+00A0>완전히 정지하기까지 자동차가 진행한 거리를 제동거리라고 하고, 공주거리와 제동거리를 더해 정지거리라고 한다. 공주거리가 길어지면 정지거리가 길어지므로 고속주행할 때는 반드시 충분한 안전거리를 확보해야 한다."
"양평 두물머리나루","교통·통신","두머리나루라고도 하며, 양서면 양수리 두물머리마을에서<U+00A0>광주시 남종면 귀여리 귀실마을로 건너가던 나루터이자 남한강 수운의 하항(河港)이었다. 마을에 40가구 정도 거주하던 시절에 배가 30척 넘게 있었다고 하며, 주변의 산판에서 생산된 땔감을 중심으로 마을에서 직접 생산한 무 등도 운반했다. 그러나 두물머리나루는 바로<U+00A0>옆의 여울로 인해 물살이 세서 뗏목을 댈 수 없었으며 위치상으로도<U+00A0>그 여울만 지나면 팔당이었기 때문에<U+00A0>하항으로써 그리 유리한 입지는 아니었다. 그럼에도 불구하고 이곳에는 주막이<U+00A0>4~5집 있었으며, 마방(馬房)도 있었다고 한다. 이는 두물머리 일대가 남한강의 기항지인 동시에 육로상의 요충지였기 때문이다.나루는 1990년대에<U+00A0>들어서까지<U+00A0>간헐적으로 운영되다가 현재는 완전히 중단되었다."
"등기우편","교통·통신","등기우편에는 다음과 같은 것들이 있다. ① 등기(登記)취급:우편물의 취급과정을 기록에 의하여 명확히 하는 우편물이다. 우편처리의 전과정을 접수번호로 기록 ·취급하므로, 우편물이 망실되거나 훼손되었을 때에는 적법한 절차에 따라 발송자에게 소정액을 손해배상한다. 등기취급은 송달증 작성방식에 따라 특별등기와 일반등기로 구분하여 취급한다. 특별등기로 취급할 수 있는 경우는 우편물의 대상이 통화 ·귀중품 또는 주관적 가치가 있다고 신고되는 것으로, 보험취급 ·현금추심취급 ·증명취급 ·내용증명 ·특사배달 ·국내특급 ·특별송달 ·민원우편 ·우편자루배달 ·전자우편에 한한다. ② 보험(保險)취급:현금 및 유가증권, 귀금속 ·보석 ·옥석 및 기타 귀중품을 우편으로 발송하고자 하는 경우에 이용하는 것으로, 취급도중 망실하거나 훼손하였을 경우 우편물의 봉투에 기재된 금액을 배상하여 주는 특수취급제도이다. 보험취급에는 통화등기 ·물품등기 ·유가증권등기의 3가지가 있다. ③ 현금추심(現金推尋)취급:물건을 우편으로 수취인에게 발송하고 그 대금을 수취인으로부터 받아 발송인에게 송금하여 주며, 원거리에 있는 판매자와 구매자 간 상품거래의 편의를 위해 주로 이용된다. ④ 증명취급:우편물의 송달 ·내용 ·접수사실을 우편물의 송달과정에서 취급사실을 명백히 하기 위하여 공개증명하는 제도로, 내용증명 ·접수시각증명 ·배달증명의 3가지가 있다. ㉠ 내용증명:발송인이 수취인에게 어떤 내용의 문서를 언제 발송하였다는 사실을 발송인이 작성한 등본(謄本)에 의하여 우편관서가 공적으로 증명하는 제도로서 우편물의 내용을 후일의 증거로 남겨 놓을 필요가 있을 때에 이용된다. 이 제도는 배달증명과 병행하여 이용되며, 우편물이 수취인에게 배달된 사실까지 확인하는 경우가 많다. ㉡ 접수시각증명:발송인이 접수시킨 우편물의 접수시각을 우편물에 표시하여 증명하여 주는 제도로서, 제출하는 서류 등의 발송시각이 권리의 취득에 중대한 영향를 미칠 때에 많이 이용된다. ㉢ 배달증명:우편물의 배달 여부와 배달일자 및 수령자를 배달우체국에서 증명하여 발송인에게 통지하는 제도로서, 등기로 취급하는 우편물에 한하여 이용할 수 있다.⑤ 특급취급:통상의 우편물보다 빠른 방법으로 송달하는 우편으로서 국내특급우편과 특사배달의 2가지가 있다. ㉠ 국내특급우편:긴급을 요하는 우편물을 통상의 송달방법보다 더 빠르게 약속한 시간 내에 배달하는 제도이다. ㉡ 특사배달(特使配達):국내특급우편지역 외에 도착하는 우편물로서 정규배달편에 의한 배달보다 빨리 배달하기 위하여 배달우체국에서 우편물을 배달할 사람을 특별히 사역하여 그 편에 배달하는 것이다.⑥ 기타 특수취급:<U+00A0>㉠ 특별송달: 민사소송법 제176조의 규정에 의한 방법으로 송달하고, 그 송달사실을 우편송달통지서에 의하여 발송인에게 통지하는 제도이다. 취급대상은 법원에서 소송관계자에게 발송하는 서류, 특허청에서 발송하는 특허심사 관계서류, 군사법원법의 규정에 의하여 발송하는 군사재판절차에 관한 서류 등이다. ㉡ 민원우편: 국민의 일상생활에 필요한 각종 서류를 관계기관에 직접 나가서 발급받는 대신 우편 또는 전신에 의하여 신청하고 이에 따라 발급된 서류를 민원우편 봉투에 넣어 일반우편물에 우선하여 송달하는 제도이다. ㉢ 우편자루배달: 동일인이 동시에 동일수취인에게 발송하는 우편물을 우편자루에 넣은 상태로 접수하여 수취인에게 주소지까지 배달하여 주는 제도이다. ㉣ 전자우편: 신서, 서류 등의 통신문을 접수하여 전자적 수단(팩시밀리 등)으로 수취인에게 직접 전송하거나 전자우편 취급우체국에 전송하고 이를 다시 접수시 원형으로 재생시켜 창구교부 또는 빠른우편물 취급 예에 의하여 수취인에게 배달하는 제도이다."
"로밍","교통·통신","예를 들어, 우리나라에는 PCS<U+00A0>휴대전화 사업자가 2곳이 있는데, 각각 독자적인 서비스망을 구축하고 있다. 따라서 회사에 따라 서비스가 잘 되고 잘 되지 않는 지역이 나타날 수 있다. 이런 경우 업체가 서로 제휴하여 어떤 회사에 가입하든 상호간의 서비스망을 서로 연결하여 아무 곳에서나 품질 좋은 서비스를 받도록 한다면 매우 편리할 것이다. 이와 같이 통신업체끼리 서로 제휴하여 서비스의 품질과 영역을 넓히는 서비스를 로밍 서비스라 한다. 한국 업체가 미국이나 일본의 어느 업체와 로밍 서비스를 하기로 하였다면, 그 회사에 가입한 사람은 휴대전화를 미국이나 일본에 들고 가더라도 상대 업체들이 서비스를 하고 있는 지역이라면 우리나라에서와 같이 그대로 사용할 수 있게 된다. 인터넷에서도 로밍 서비스가 가능한데, 개념은 휴대전화의 경우와 동일하다. 즉, 한국의 인터넷 접속서비스 업체에 가입한 사람이더라도 미국에 출장을 갔을 경우에는 국제전화로 연결하거나 매우 복잡한 절차를 거쳐야만 인터넷을 사용할 수 있다. 그러나 그 인터넷 접속서비스 업체가 미국의 다른 업체와 로밍 서비스 제휴를 하고 있다면, 현지 시내전화를 통해 곧바로 자신의 아이디(ID)와 암호(password)로 인터넷에 접속하여 자신에게 배달된 전자우편을 확인하거나 원하는 정보를 얻어낼수 있다."
"거가대교","교통·통신","부산광역시 강서구<U+00A0>가덕도동 가덕도와 경상남도 거제시 장목면 유호리를 연결하는 다리로, 가덕도~대죽도~중죽도~저도~유호리를 통과한다. 2004년 12월 착공하였으며, 2010년 12월 14일 개통되었다. 총사업비는 1조 4,469억 원(민자유치 9,996억 원, 중앙정부와 지자체 재정지원 4,473억 원)이다.길이 8.2km의 왕복 4차선 다리로, 가덕도~대죽도(3.7km) 구간은 해저침매터널, 대죽도~중죽도~저도~거제 유호리(4.5km) 구간은 2개의 사장교(1.6km)와 4개의 접속교(1.9km), 육상터널(1km)로 구성되어 있다.가덕도~대죽도 구간의 해저침매터널은 육상에서 제작된 터널구조물인 침매함을 바닷속에 가라앉힌 후 각 침매함을 연결하는 침매공법(沈埋工法)을 통해 만들었다. 침매함은 모두 18개로, 각각의 침매함은 길이 180m, 폭 26.5m, 높이 9.75m, 무게 4만 5,000t에 이른다. 한국에서는 최초로 설치된 해저침매터널로, 세계 최초로 내해(內海)가 아니라 파도·바람·조류가 심한 외해(外海)에 건설되었다. 수심 48m의 깊은 바닷속 연약지반에 건설됨으로써 세계에서 가장 수심이 깊은 곳에 건설된 해저침매터널이 되었다.2개의 사장교(斜張橋; 다리 양쪽에 세운 주탑에 연결된 케이블로 차량이 통행하는 도로 상판을 매다는 구조의 다리)는 중죽도~저도(2주탑. 길이 919m, 폭 24m)와 저도~유호리(3주탑. 길이 676m, 폭 22m) 사이에 설치되었다. 부속시설로는 가덕도 휴게소·홍보관(부지면적 5만 6,004㎡, 건축총면적 3,685㎡의 지하 1층·지상 3층 규모), 거제도 휴게소(부지면적 2만 369㎡, 건축총면적 2,555㎡의 지하 1층·지상 2층 규모) 등이 있다.거가대교의 개통으로 부산에서 거제까지의 통행거리가 140km에서 60km로 단축되고, 통행시간도 2시간 10분에서 50분으로 단축되어 교통이 편리해지고, 유류비 등의 물류비용이 크게 절감될 것으로 전망된다. 또 대전-통영간 고속도로와 경부고속도로 등이 U-Type형으로 연결되어 남해고속도로의 교통량을 분산시키고, 부산·거제·통영·남해·여수·완도·목포 등을 연결하는 남해안 관광 인프라를 구축시킬 수 있을 것으로 기대된다."
"곤돌라","교통·통신","스키장에서 사용되는 리프트의 일종이다. 케이블 하나에 매달려 가는 소형 케이블카라고 생각하면 쉽다. 내부에 6~8명의 인원이 탈 수 있다."
"인천국제공항","교통·통신","21세기 수도권 항공운송의 수요를 분담하고 동북아시아의 허브(Hub) 공항으로서의 역할을 담당하기 위하여 건설되었다. 1단계 1단계 건설 사업으로 1990년 6월 14일 인천광역시 영종도 일대로 입지 선정을 확정한 뒤 1992년 11월 영종도와 용유도 사이의 바다를 매립하는 공항 부지 조성공사에 착공하였다. 1996년 3월 인천국제공항으로 명칭을 확정하였고, 같은 해 5월 여객터미널 건설 공사에 이어 12월에 활주로 건설 공사를 착공하였다. 1999년 2월 공항을 운영할 인천국제공항공사가 설립되었으며, 2000년 12월에 여객터미널을 준공한 데 이어 2001년 3월 29일에 개항하였다.1단계 건설에는 총 5조 6000억원의 사업비가 투입되어 1172만㎡의 부지에 활주로 2본(길이 3750m, 너비 60m), 49만 6000㎡의 제1 여객터미널(T1), 12만 9000㎡의 화물터미널, 25만 2000㎡의 제1 교통센터, 100.2m에 22층 규모의 관제탑, 60개소의 여객계류장과 24개소의 화물계류장, 21㎞의 수하물처리시설(BHS) 등의 시설을 갖추었다. 2단계 개항과 함께 항공 수요가 예상외로 증가함에 따라 2단계 건설을 서둘러 추진하였다. 2001년 12월 31일 2단계 사업의 기본계획을 변경 공시하고 이듬해 11월 여객계류장 부지 조성공사에 착수한 뒤 2008년 6월 20일에 완공하였다.2단계 건설에는 총 2조 9000억 원의 사업비가 투입되어 957만㎡의 부지에 활주로 1본(길이 4000m, 너비 60m), 12만 9000㎡의 화물터미널, 16만 6000㎡의 탑승동, 12만 9000㎡의 화물터미널, 48개소의 여객계류장과 12개소의 화물계류장, 67㎞의 BHS 등의 시설을 갖추었다. 사업 기간인 2007년 3월 김포국제공항과 인천국제공항을 연결하는 인천국제공항철도가 1단계로 개통되었다. 3단계 2009년 3단계 건설 기본계획이 수립된 뒤 2012년 변경안이 확정, 고시되었다. 원래 2015년에 완공할 예정이었으나 전 세계적인 경기 침체와 인천국제공항 민영화 논란 등의 영향으로 2017년으로 연기되었다. 2013년 9월 제2 여객터미널(T2) 건설 공사에 착수하여 여객 및 화물 계류장과 연결 교통시설 등을 단계적으로 확충하였다. 제2 여객터미널은 2017년 9월 30일에 완공되어 2018년 1월 18일에 개장된다.3단계 건설에는 총 4조 9303억 원의 사업비가 투입되어 110만 5000㎡의 부지에 38만 4000㎡의 제2 여객터미널, 56개소의 여객계류장과 13개소의 화물계류장, 42㎞의 BHS, 13만 5000㎡의 제2 교통센터 등의 시설을 갖추었다. 4단계~최종 2018년부터 2023년까지 4단계 사업으로 제2 여객터미널 규모를 26만 6000㎡ 더 늘리고, 2029년까지 최종 사업으로 7만 8000㎡의 제3 여객터미널(T3)을 신축하고 활주로 2본도 추가로 건설한다. 제1·제2 여객터미널과 탑승동, 활주로 3본, 제1·제2 교통센터, 여객계류장과 화물계류장, 화물터미널, 관제탑 등이 있다. 제1 여객터미널은 지하 1층 지상 4층 규모로 44개의 탑승구가 있으며, 아시아나항공을 비롯한 42개 항공사가 배치되어 있다. 제2 여객터미널은 지하 2층, 지상 5층 규모로 대한항공이 실질적인 전용으로 사용하는 가운데 에어프랑스·KLM항공·델타항공이 함께 배치되어 있다. 제2 여객터미널는 첨단 에너지기술과 태양광·지열 등의 신재생에너지를 적극 도입하여 저탄소 친환경 터미널로 건설되었다. 탑승동은 여객 처리를 원활히 하기 위하여 건설된 곳으로 30개의 탑승구가 있으며, 제주항공·진에어 등 저가항공사(LCC) 중심으로 배치되었다. 교통센터는 주차장과 철도역 등 다양한 교통시설을 겸한다. 운항 횟수는 기존 3개의 활주로에서 연간 총 41만 회를 처리할 수 있으며, 최종 사업이 완료되어 2개의 활주로가 추가되면 총 74만 회로 늘어난다. 여객 수용능력은 제1 여객터미널의 5400만 명에 제2 여객터미널의 1800만 명이 추가되어 7200만 명으로 증가하였으며, 제3 여객터미널이 완공되면 1억 3000만 명으로 늘어난다. 화물 처리능력은 3단계 사업이 완공되어 종전 450만t에서 580만t으로 늘어났다.2016년 실제 운항 횟수는 총 33만 9673회, 이용 여객은 총 5776만 5397명, 화물 운송량은 총 354만 2643t이다. 개항 이후 비약적인 발전을 거듭하여 세계적인 공항으로 자리잡았으며, 국제공항협의회(ACI)가 주관하는 '세계 공항서비스평가(ASQ)'에서 <U+00A0>2005년부터 2017년까지 12년간 연속하여 1위를 차지하였다."
"나리타국제공항","교통·통신","도쿄 중심가에서 북동쪽으로 60㎞ 떨어진 곳에 있는 공항이다. 약어는 NRT이다. 도쿄국제공항(하네다공항)의 과밀화 해결책으로 1966년 착공하여 1977년 제1기 공사를 끝내고 1978년 5월 개항하였다. 1997년에는 한국공항공사와<U+00A0>자매결연을 체결하였다. 1998년 11월 도쿄국제공항과의 직통 전철이 개통되었다. 신도쿄국제공항이라고도 한다.공항 면적은 1065만㎡이다. 활주로는 4,000mx60m와 2,500mx60m 크기의 2개소가 있다. 유도로는 길이 15.9㎞, 표준 폭 30m이다. 계류장은 면적이 215만㎡이며 항공기 112대가 동시에 머무를 수 있다. 또한 주차장은 27만 1100㎡로 9,000대가 주차할 수 있는 규모이다. 여객 터미널은 3동(47만 9700㎡)으로 연간 2300만 명을 수용할 수 있으며 화물 터미널은 면적이 31만 1300㎡이다. 관제탑의 높이는 87.3m이다.<U+00A0>1997년 기준으로 항공기 운항 횟수는 연간 12만 5873회이며, 여객 수는 2566만 7577명이고, 화물 수송량은 173만 8795톤이다. 취항 항공사는 38개국 51개사이며, 국내외 총 98개 도시로 취항하고 있다.여객 편의 시설로는 비즈니스센터와 특별대합실, 샤워룸 및 수면실, 수유실 및 놀이터 등이 있다. 공항으로의 접근 방법은 공항 구내까지 연결되는 철도와 리무진버스가 있다. 1966년 설립된 신도쿄국제공항공단(New Tokyo International Airport)이<U+00A0>공항을 관리 및 운영하였으며 2004년 4월에 민영화되어 나리타국제공항주식회사(Narita International Airport Corporation)로 이름을 변경하였다."
"운하","교통·통신","내륙에 선박의 항행이나 농지의 관개, 배수 또는 용수를 위하여 인공적으로 만든 수로(水路)를 말한다.<U+00A0>일반적으로 교통기관의 일부분으로 보고 있다. 운하의 대부분은 육지를 굴착하여 만드나 매립(埋立)을 할 때 남겨둔 수로, 하천에 손질을 하여 만든 인공수로도 운하라고 부른다. 운하는 기능적으로는 수운용 운하와 관개용 운하로 대별되고, 또 구조적으로는 수에즈운하와 같은 수평운하(水平運河)와 파나마운하와 같은 유문운하(有門運河)로 나뉜다."
"간선급행버스체계","교통·통신","도심과 외곽을 잇는 주요한 간선도로에 버스전용차로를 설치하여 급행버스를 운행하게 하는 대중교통시스템을 말한다. 요금정보시스템과 승강장·환승정거장·환승터미널·정보체계 등 지하철도의 시스템을 버스운행에 적용한 것으로 '땅 위의 지하철'로 불리며, 'bus rapid transit'를 줄여서 BRT라고도 한다. 도심지역의 도로와 교통시설을 증가시키는 데에는 한계가 있고, 대중교통 서비스의 질이 낮아지며, 교통체증이 지속되어 필요해진 개념으로, 1970년대부터 미국 등 선진국에서 실시되었다. 한국에서는 2005년 말부터 서울특별시와 대전광역시에 시범적으로 시행하고 2010년까지 전국으로 확대할 계획이다. 건설비가 지하철도에 비해 10분의 1에 불과하면서도 도착정보시스템과 버스우선신호체계·환승터미널 등 지하철도의 시스템의 장점을 갖추어 버스의 정시성과 신속성·수송능력을 크게 높일 것으로 보인다. 또한 이에 따라 버스의 대중교통수단 분담률도 향상될 것으로 전망된다."
